Gene_name,ORF_name
GTR1,YML121W
LST8,YNL006W
FRT2,YAL028W
TDA3,YHR009C
PRO3,YER023W
MF(ALPHA)2,YGL089C
MDM32,YOR147W
PSP1,YDR505C
SEI1,YLR404W
PIS1,YPR113W
SPT14,YPL175W
KTR1,YOR099W
INP2,YMR163C
VMA3,YEL027W
RKM2,YDR198C
SRP68,YPL243W
SPO74,YGL170C
CRZ1,YNL027W
GTB1,YDR221W
PAM17,YKR065C
IMP4,YNL075W
MRPL20,YKR085C
TIM17,YJL143W
RKM5,YLR137W
EXG2,YDR261C
DAL7,YIR031C
TOF2,YKR010C
RPN6,YDL097C
HMO1,YDR174W
IRC24,YIR036C
PUG1,YER185W
HLJ1,YMR161W
SLX8,YER116C
NUP84,YDL116W
GPM2,YDL021W
RNR2,YJL026W
NSG2,YNL156C
COP1,YDL145C
WSC4,YHL028W
APD1,YBR151W
MET5,YJR137C
FAA3,YIL009W
RPL2B,YIL018W
PRM2,YIL037C
ASF2,YDL197C
SHE10,YGL228W
FKH1,YIL131C
GPH1,YPR160W
MSS18,YPR134W
MER1,YNL210W
RLF2,YPR018W
LHP1,YDL051W
EMC3,YKL207W
TRM11,YOL124C
HMG1,YML075C
NGR1,YBR212W
REC102,YLR329W
PDE1,YGL248W
DBP8,YHR169W
RPL19B,YBL027W
SWE1,YJL187C
SUL1,YBR294W
IES5,YER092W
CAB1,YDR531W
RCK2,YLR248W
MHT1,YLL062C
LDS2,YOL047C
HNT3,YOR258W
GOR1,YNL274C
DRS1,YLL008W
ATP14,YLR295C
APC1,YNL172W
TDA4,YJR116W
URC2,YDR520C
RFM1,YOR279C
GSH2,YOL049W
VPS74,YDR372C
DPH1,YIL103W
IZH3,YLR023C
LCL2,YLR104W
IZH4,YOL101C
TIM21,YGR033C
PCL5,YHR071W
CDC1,YDR182W
RPL16A,YIL133C
RPR2,YIR015W
ROD1,YOR018W
MRPL44,YMR225C
BSC1,YDL037C
RDS2,YPL133C
BNA4,YBL098W
RBD2,YPL246C
RIB4,YOL143C
RRP1,YDR087C
MSN4,YKL062W
CUP2,YGL166W
TLG1,YDR468C
GEP3,YOR205C
COQ1,YBR003W
BOI2,YER114C
MMP1,YLL061W
VPS28,YPL065W
ACE2,YLR131C
VMR1,YHL035C
NPA3,YJR072C
MRP2,YPR166C
SPS22,YCL048W
CFT2,YLR115W
CUR1,YPR158W
PCL8,YPL219W
RRP9,YPR137W
GCV2,YMR189W
RAD55,YDR076W
GAL7,YBR018C
ATG33,YLR356W
RIF1,YBR275C
RPS23A,YGR118W
CEG1,YGL130W
RTS2,YOR077W
HHO1,YPL127C
JLP2,YMR132C
HCA4,YJL033W
GAC1,YOR178C
BRE1,YDL074C
SSA1,YAL005C
FKH2,YNL068C
SPS2,YDR522C
UBA3,YPR066W
CWP2,YKL096W-A
RPL26B,YGR034W
RPP1,YHR062C
PDR17,YNL264C
PHO4,YFR034C
ERG4,YGL012W
PAD1,YDR538W
GAS3,YMR215W
RSM23,YGL129C
RPS16A,YMR143W
GUA1,YMR217W
IWR1,YDL115C
BAT2,YJR148W
FMP48,YGR052W
HSH49,YOR319W
REC107,YJR021C
ELA1,YNL230C
GRE1,YPL223C
AIM7,YDR063W
BYE1,YKL005C
PCT1,YGR202C
POX1,YGL205W
TAF1,YGR274C
TMA20,YER007C-A
PAU10,YDR542W
MEU1,YLR017W
GCV3,YAL044C
CSE1,YGL238W
BAT1,YHR208W
CAB5,YDR196C
PIN3,YPR154W
CAP1,YKL007W
BET2,YPR176C
NUS1,YDL193W
VBA1,YMR088C
UTP10,YJL109C
FCF2,YLR051C
NUP133,YKR082W
PWP1,YLR196W
INM2,YDR287W
RAD33,YML011C
YVH1,YIR026C
KAP123,YER110C
PRP31,YGR091W
AFI1,YOR129C
IBA57,YJR122W
NOG2,YNR053C
CWC24,YLR323C
RME1,YGR044C
MGR2,YPL098C
SRM1,YGL097W
THG1,YGR024C
SAS4,YDR181C
ICS2,YBR157C
APL1,YJR005W
DOG1,YHR044C
NOP53,YPL146C
CPA1,YOR303W
VTC3,YPL019C
TSC10,YBR265W
HEM14,YER014W
PAI3,YMR174C
RPS7A,YOR096W
MTQ1,YNL063W
CDC9,YDL164C
SIR1,YKR101W
MET30,YIL046W
RKM4,YDR257C
ALG3,YBL082C
TUL1,YKL034W
SNO1,YMR095C
MIG2,YGL209W
ECM25,YJL201W
SPT4,YGR063C
MIC60,YKR016W
CPA2,YJR109C
DDP1,YOR163W
GLE2,YER107C
PUT2,YHR037W
MRPL27,YBR282W
UBC6,YER100W
EST1,YLR233C
KCS1,YDR017C
VPS1,YKR001C
DSL1,YNL258C
HBT1,YDL223C
SHE3,YBR130C
RRP5,YMR229C
FAT3,YKL187C
TIP1,YBR067C
COR1,YBL045C
MCP1,YOR228C
NTR2,YKR022C
CDC25,YLR310C
STP1,YDR463W
TYW3,YGL050W
MCM16,YPR046W
ARC35,YNR035C
RTT10,YPL183C
LSM6,YDR378C
CPR7,YJR032W
ERJ5,YFR041C
RPN5,YDL147W
IMP21,YIL154C
THP3,YPR045C
SPC42,YKL042W
HFA1,YMR207C
UIP5,YKR044W
REI1,YBR267W
MDE1,YJR024C
TRP3,YKL211C
CCT5,YJR064W
ENT5,YDR153C
MCH4,YOL119C
RBS1,YDL189W
COX12,YLR038C
BSC2,YDR275W
DXO1,YDR370C
VMA21,YGR105W
UTH1,YKR042W
MIM1,YOL026C
MSY1,YPL097W
RXT2,YBR095C
SPP382,YLR424W
AVT5,YBL089W
SYF1,YDR416W
CWP1,YKL096W
CCP1,YKR066C
PRE7,YBL041W
HST4,YDR191W
ATP10,YLR393W
KRI1,YNL308C
SER33,YIL074C
RGI1,YER067W
TIR4,YOR009W
RAD23,YEL037C
SUA5,YGL169W
BCK2,YER167W
HSP60,YLR259C
SER1,YOR184W
BUD32,YGR262C
TRK1,YJL129C
HAP5,YOR358W
ERV1,YGR029W
CWC27,YPL064C
PPZ1,YML016C
ARG56,YER069W
ZAP1,YJL056C
SPC72,YAL047C
MSC1,YML128C
FUN19,YAL034C
MHR1,YDR296W
KTR6,YPL053C
MRS6,YOR370C
URM1,YIL008W
RHO2,YNL090W
PRM3,YPL192C
BBC1,YJL020C
AVT6,YER119C
PDR1,YGL013C
MDS3,YGL197W
MSB3,YNL293W
FKS1,YLR342W
FPK1,YNR047W
OSH7,YHR001W
MRS1,YIR021W
LAP2,YNL045W
NSR1,YGR159C
MGR1,YCL044C
ADE3,YGR204W
APM4,YOL062C
ERD2,YBL040C
NKP2,YLR315W
SDH3,YKL141W
PLC1,YPL268W
AGP3,YFL055W
ERP6,YGL002W
CMC2,YBL059C-A
PEX28,YHR150W
PRP42,YDR235W
ROX3,YBL093C
VPS15,YBR097W
MND2,YIR025W
MEC1,YBR136W
DTR1,YBR180W
RPS10B,YMR230W
SNF1,YDR477W
YTM1,YOR272W
ERV15,YBR210W
SEC53,YFL045C
MED7,YOL135C
BSC5,YNR069C
IPT1,YDR072C
TPC1,YGR096W
ATG10,YLL042C
BAR1,YIL015W
COA4,YLR218C
CFD1,YIL003W
SSD1,YDR293C
NDC1,YML031W
CDC23,YHR166C
SAG1,YJR004C
RPL8B,YLL045C
NRP1,YDL167C
COG8,YML071C
YPK9,YOR291W
DEP1,YAL013W
PGI1,YBR196C
AGX1,YFL030W
ECT1,YGR007W
CDC73,YLR418C
YPT1,YFL038C
GAL11,YOL051W
ZUO1,YGR285C
RDL2,YOR286W
OSM1,YJR051W
PPN1,YDR452W
POL3,YDL102W
ERS1,YCR075C
SNF12,YNR023W
DAP2,YHR028C
GPB2,YAL056W
PTR3,YFR029W
IRA2,YOL081W
AVT7,YIL088C
RSM18,YER050C
WHI5,YOR083W
GCN3,YKR026C
RPT3,YDR394W
SAC7,YDR389W
SUI2,YJR007W
RPB2,YOR151C
MFA2,YNL145W
RCR1,YBR005W
TAF11,YML015C
CDC31,YOR257W
XPT1,YJR133W
NNT1,YLR285W
DBR1,YKL149C
LTO1,YNL260C
PXL1,YKR090W
RAD3,YER171W
MET6,YER091C
GLG2,YJL137C
OSW1,YOR255W
COX9,YDL067C
UGA1,YGR019W
ESL2,YKR096W
GYL1,YMR192W
SIP2,YGL208W
SSA4,YER103W
TLG2,YOL018C
DSE3,YOR264W
HXK1,YFR053C
PEX17,YNL214W
FYV4,YHR059W
YJU3,YKL094W
AHC2,YCR082W
FYV8,YGR196C
LCB3,YJL134W
HAP2,YGL237C
YTH1,YPR107C
QCR6,YFR033C
KAP104,YBR017C
FIN1,YDR130C
ACT1,YFL039C
RPB9,YGL070C
TMN3,YER113C
BNR1,YIL159W
BFR2,YDR299W
AHC1,YOR023C
MCM21,YDR318W
MET4,YNL103W
GRS2,YPR081C
GEM1,YAL048C
RKM3,YBR030W
SIC1,YLR079W
MCX1,YBR227C
YPR1,YDR368W
STO1,YMR125W
JIP4,YDR475C
SKI2,YLR398C
GAT1,YFL021W
VMS1,YDR049W
ENB1,YOL158C
NOP15,YNL110C
TRX3,YCR083W
KEL2,YGR238C
RFC3,YNL290W
SEN34,YAR008W
VAM3,YOR106W
RPG1,YBR079C
SAP4,YGL229C
GIP2,YER054C
SBP1,YHL034C
HOT13,YKL084W
AGE2,YIL044C
CDC6,YJL194W
LSM7,YNL147W
HEM4,YOR278W
HSV2,YGR223C
SAR1,YPL218W
ALG1,YBR110W
RPP1A,YDL081C
SBE2,YDR351W
MOT3,YMR070W
NUP120,YKL057C
RPS17B,YDR447C
RPL12B,YDR418W
QRI1,YDL103C
BUD2,YKL092C
PNC1,YGL037C
SNT309,YPR101W
RSF2,YJR127C
TAN1,YGL232W
RPL34A,YER056C-A
DBP10,YDL031W
EFM2,YBR271W
IOC4,YMR044W
SRP40,YKR092C
POP3,YNL282W
RVB1,YDR190C
ATX1,YNL259C
PES4,YFR023W
MBR1,YKL093W
TVP18,YMR071C
TOM6,YOR045W
GSC2,YGR032W
RFC4,YOL094C
RSR1,YGR152C
ATP15,YPL271W
RCY1,YJL204C
ARA2,YMR041C
AKL1,YBR059C
ROT2,YBR229C
RPN13,YLR421C
PET122,YER153C
HEK2,YBL032W
YPS6,YIR039C
GIP4,YAL031C
RMA1,YKL132C
VPS45,YGL095C
SGF29,YCL010C
MCH5,YOR306C
GLC8,YMR311C
ATH1,YPR026W
SHS1,YDL225W
KIP3,YGL216W
ENV11,YGR071C
NTH1,YDR001C
RPS21A,YKR057W
DGA1,YOR245C
GDB1,YPR184W
NMD3,YHR170W
PPA2,YMR267W
CLN2,YPL256C
GLR1,YPL091W
MTC4,YBR255W
YPT52,YKR014C
BNA2,YJR078W
DAD4,YDR320C-A
GIM3,YNL153C
KAR2,YJL034W
TFC3,YAL001C
KRE9,YJL174W
CAT2,YML042W
RPS1A,YLR441C
NTC20,YBR188C
ENO2,YHR174W
MEP2,YNL142W
MIH1,YMR036C
PDS1,YDR113C
SHM1,YBR263W
CPR2,YHR057C
APC2,YLR127C
UBP15,YMR304W
SEC21,YNL287W
BUR2,YLR226W
MSG5,YNL053W
MRP51,YPL118W
RTT106,YNL206C
CMD1,YBR109C
VNX1,YNL321W
SET2,YJL168C
NUT1,YGL151W
ESS1,YJR017C
PTC6,YCR079W
ERG12,YMR208W
POC4,YPL144W
RPL18A,YOL120C
SIN4,YNL236W
CDC16,YKL022C
MCA1,YOR197W
CIA2,YHR122W
RSM19,YNR037C
ADY4,YLR227C
DPB3,YBR278W
PPH22,YDL188C
POP1,YNL221C
CYS3,YAL012W
ERG28,YER044C
CDA1,YLR307W
RKR1,YMR247C
PIR1,YKL164C
EMC4,YGL231C
SEC61,YLR378C
DCC1,YCL016C
ERG25,YGR060W
GPI13,YLL031C
MIG1,YGL035C
TKL2,YBR117C
IBD2,YNL164C
SEM1,YDR363W-A
SUR2,YDR297W
CBK1,YNL161W
NTF2,YER009W
CDH1,YGL003C
GCV1,YDR019C
MIT1,YEL007W
SRS2,YJL092W
ENV9,YOR246C
ADH6,YMR318C
PIH1,YHR034C
VPS13,YLL040C
MET16,YPR167C
VPS36,YLR417W
COX13,YGL191W
ATG1,YGL180W
LRP1,YHR081W
MRPS8,YMR158W
RTR2,YDR066C
APS2,YJR058C
SMC1,YFL008W
APT1,YML022W
PEX3,YDR329C
IMP1,YMR150C
TCB1,YOR086C
EOS1,YNL080C
SRP54,YPR088C
SUP35,YDR172W
LSC2,YGR244C
PRS1,YKL181W
HTA1,YDR225W
TMA17,YDL110C
SCS2,YER120W
ATG23,YLR431C
VID28,YIL017C
CBP2,YHL038C
OXP1,YKL215C
RPS9A,YPL081W
OST2,YOR103C
SCD5,YOR329C
SPT7,YBR081C
RRT13,YER066W
FKS3,YMR306W
UBX2,YML013W
YIP5,YGL161C
CPR5,YDR304C
PKR1,YMR123W
ECM16,YMR128W
ACP1,YKL192C
FAR1,YJL157C
HNT2,YDR305C
EMC2,YJR088C
SRL1,YOR247W
RPL25,YOL127W
KEG1,YFR042W
VPS68,YOL129W
AEP2,YMR282C
TMA108,YIL137C
GCR1,YPL075W
ADP1,YCR011C
BUD25,YER014C-A
ARO2,YGL148W
PFK1,YGR240C
ALY2,YJL084C
SDA1,YGR245C
TPK3,YKL166C
MSC2,YDR205W
PGA1,YNL158W
TPA1,YER049W
NUP2,YLR335W
YPT35,YHR105W
FMP30,YPL103C
MNS1,YJR131W
POP6,YGR030C
ATG11,YPR049C
APE1,YKL103C
TOM20,YGR082W
BMT2,YBR141C
CHS2,YBR038W
SKI3,YPR189W
YCF1,YDR135C
FUN14,YAL008W
PML1,YLR016C
LTE1,YAL024C
FAT1,YBR041W
AIM29,YKR074W
DMA1,YHR115C
COX17,YLL009C
JNM1,YMR294W
BRL1,YHR036W
TAF4,YMR005W
JIP5,YPR169W
MPD2,YOL088C
REC114,YMR133W
PRE1,YER012W
BRX1,YOL077C
STB4,YMR019W
SPR28,YDR218C
SHG1,YBR258C
PET18,YCR020C
MNP1,YGL068W
SEC3,YER008C
PTA1,YAL043C
SKO1,YNL167C
UFE1,YOR075W
CPS1,YJL172W
TIM44,YIL022W
MSH6,YDR097C
SPO24,YPR036W-A
BNI1,YNL271C
ERI1,YPL096C-A
ARR1,YPR199C
ADE16,YLR028C
ECM13,YBL043W
ARB1,YER036C
MIP6,YHR015W
CLA4,YNL298W
TOS4,YLR183C
CKA2,YOR061W
SPT10,YJL127C
GNA1,YFL017C
MTR10,YOR160W
CYB2,YML054C
GPI18,YBR004C
POR1,YNL055C
PDX1,YGR193C
GET1,YGL020C
ATP12,YJL180C
CET1,YPL228W
MOG1,YJR074W
SLA2,YNL243W
OPY2,YPR075C
NMT1,YLR195C
FCY22,YER060W-A
CTF18,YMR078C
CCL1,YPR025C
GCD7,YLR291C
HSP150,YJL159W
BRN1,YBL097W
PMT5,YDL093W
MIC19,YFR011C
TAF10,YDR167W
AIM19,YIL087C
JAC1,YGL018C
RPL37B,YDR500C
COQ4,YDR204W
RPC10,YHR143W-A
TRX1,YLR043C
NOP13,YNL175C
TAH18,YPR048W
LPD1,YFL018C
STM1,YLR150W
NAB3,YPL190C
SLC1,YDL052C
TPD3,YAL016W
TAF9,YMR236W
YSH1,YLR277C
MST1,YKL194C
AGC1,YPR021C
TAZ1,YPR140W
DOT6,YER088C
TIM18,YOR297C
PDR16,YNL231C
RMP1,YLR145W
MVD1,YNR043W
RIM8,YGL045W
SAM4,YPL273W
DAK2,YFL053W
PDR11,YIL013C
BSD2,YBR290W
CAR1,YPL111W
YAP6,YDR259C
ARP8,YOR141C
RHB1,YCR027C
TRA1,YHR099W
WWM1,YFL010C
OM45,YIL136W
RPL27B,YDR471W
AIM20,YIL158W
MGE1,YOR232W
GPI14,YJR013W
TAF7,YMR227C
AUR1,YKL004W
CUE4,YML101C
AAD14,YNL331C
CFT1,YDR301W
ASK1,YKL052C
ARG3,YJL088W
DIN7,YDR263C
PBI1,YPL272C
TMA64,YDR117C
HXT14,YNL318C
ACM1,YPL267W
KSS1,YGR040W
NIT2,YJL126W
EFT1,YOR133W
MRPL35,YDR322W
EPL1,YFL024C
NAG1,YGR031C-A
ICL1,YER065C
CCC2,YDR270W
SGT2,YOR007C
STP2,YHR006W
OPI10,YOL032W
ECM4,YKR076W
YOP1,YPR028W
RNH203,YLR154C
SRB2,YHR041C
SKI6,YGR195W
INH1,YDL181W
GRX3,YDR098C
HOT1,YMR172W
MRPS17,YMR188C
IZH1,YDR492W
VPS51,YKR020W
HXT5,YHR096C
HTB2,YBL002W
FYV12,YOR183W
SAH1,YER043C
CDC43,YGL155W
IDP3,YNL009W
BNA1,YJR025C
CLN3,YAL040C
MAK31,YCR020C-A
FPR4,YLR449W
SNF7,YLR025W
PBP2,YBR233W
PRM10,YJL108C
ATP22,YDR350C
RRG9,YNL213C
RSC30,YHR056C
SSA3,YBL075C
FIG2,YCR089W
RTT107,YHR154W
SEC13,YLR208W
SWI1,YPL016W
SNX41,YDR425W
PRI1,YIR008C
MMR1,YLR190W
ATG32,YIL146C
GRX8,YLR364W
COG4,YPR105C
OSW2,YLR054C
SPT21,YMR179W
RDH54,YBR073W
SAP185,YJL098W
PAC1,YOR269W
PKC1,YBL105C
AKR1,YDR264C
EAR1,YMR171C
OTU2,YHL013C
YPS7,YDR349C
PKH2,YOL100W
SFC1,YJR095W
RPS22A,YJL190C
PEX32,YBR168W
BEM4,YPL161C
HFM1,YGL251C
LEA1,YPL213W
SNG1,YGR197C
HUA2,YOR284W
MRP49,YKL167C
CTS2,YDR371W
OCA1,YNL099C
NMD5,YJR132W
RPI1,YIL119C
GFD2,YCL036W
TRS120,YDR407C
FTH1,YBR207W
SEC63,YOR254C
ULI1,YFR026C
SSU72,YNL222W
BGL2,YGR282C
PRT1,YOR361C
CTR3,YLR411W
UPC2,YDR213W
DLD2,YDL178W
DPS1,YLL018C
SUR1,YPL057C
OPI3,YJR073C
YRR1,YOR162C
GGC1,YDL198C
PRR2,YDL214C
CWC22,YGR278W
APT2,YDR441C
HMG2,YLR450W
HSL1,YKL101W
UTP8,YGR128C
EFM1,YHL039W
HXT1,YHR094C
PUP1,YOR157C
ALB1,YJL122W
SKT5,YBL061C
FLC3,YGL139W
TOM5,YPR133W-A
ISR1,YPR106W
HAP4,YKL109W
RAP1,YNL216W
ECM22,YLR228C
BEM2,YER155C
NOP14,YDL148C
PEX21,YGR239C
RTG2,YGL252C
NGL1,YOL042W
PPQ1,YPL179W
FUS1,YCL027W
ERP1,YAR002C-A
TAP42,YMR028W
YSC84,YHR016C
FUN12,YAL035W
MRE11,YMR224C
SIF2,YBR103W
NIT3,YLR351C
MYO3,YKL129C
PCI8,YIL071C
BMT6,YLR063W
AAR2,YBL074C
PFK26,YIL107C
CCT7,YJL111W
RPL11A,YPR102C
DCI1,YOR180C
BIG1,YHR101C
CLB4,YLR210W
GPP1,YIL053W
RSM22,YKL155C
GIP1,YBR045C
ETP1,YHL010C
ATG7,YHR171W
BRR1,YPR057W
UPS2,YLR168C
RGP1,YDR137W
UTP18,YJL069C
ZRT1,YGL255W
IMP3,YHR148W
JLP1,YLL057C
ALA1,YOR335C
RIM13,YMR154C
AXL1,YPR122W
SWI3,YJL176C
UFD1,YGR048W
TOS3,YGL179C
SWC3,YAL011W
ADE13,YLR359W
HER1,YOR227W
YMC1,YPR058W
SSK1,YLR006C
MNN9,YPL050C
MAP1,YLR244C
REV1,YOR346W
KIN4,YOR233W
VPS41,YDR080W
UTP25,YIL091C
DRE2,YKR071C
NDE2,YDL085W
SUC2,YIL162W
AGA1,YNR044W
PDR5,YOR153W
RPL18B,YNL301C
PEX19,YDL065C
REE1,YJL217W
DSE2,YHR143W
DUG1,YFR044C
MDR1,YGR100W
SSN2,YDR443C
SWM1,YDR260C
PEX34,YCL056C
NAT5,YOR253W
ARC40,YBR234C
LSB5,YCL034W
ARP2,YDL029W
HMI1,YOL095C
DUS1,YML080W
RAD2,YGR258C
NOP8,YOL144W
SPA2,YLL021W
VPS21,YOR089C
SPT5,YML010W
SKI8,YGL213C
IRC18,YJL037W
SPC3,YLR066W
REA1,YLR106C
AVO2,YMR068W
ELP3,YPL086C
RAM2,YKL019W
HOS2,YGL194C
VPS27,YNR006W
PNG1,YPL096W
SNZ1,YMR096W
ATE1,YGL017W
DLS1,YJL065C
IME4,YGL192W
AIM14,YGL160W
PEX4,YGR133W
PSO2,YMR137C
HFD1,YMR110C
CAJ1,YER048C
MAD2,YJL030W
RPS4B,YHR203C
SSY1,YDR160W
SPC1,YJR010C-A
AAC1,YMR056C
VTI1,YMR197C
UBC1,YDR177W
SWD3,YBR175W
DOP1,YDR141C
DCS1,YLR270W
UTP20,YBL004W
MTF2,YDL044C
LCD1,YDR499W
YRA2,YKL214C
SWS2,YNL081C
AMA1,YGR225W
RPS4A,YJR145C
SER2,YGR208W
CHO1,YER026C
MTQ2,YDR140W
HOR7,YMR251W-A
MRPS35,YGR165W
MSB2,YGR014W
PRI2,YKL045W
SWF1,YDR126W
YET2,YMR040W
SLI15,YBR156C
RPN4,YDL020C
PSH1,YOL054W
SUL2,YLR092W
CKI1,YLR133W
TUB3,YML124C
REC8,YPR007C
EXO84,YBR102C
TAM41,YGR046W
MSS11,YMR164C
RUD3,YOR216C
CST26,YBR042C
ACK1,YDL203C
SIZ1,YDR409W
DUF1,YOL087C
CSE2,YNR010W
SAN1,YDR143C
ISY1,YJR050W
RSC3,YDR303C
SPC25,YER018C
RPL19A,YBR084C-A
ACA1,YER045C
TDA10,YGR205W
RQC2,YPL009C
HSE1,YHL002W
UGO1,YDR470C
ATG21,YPL100W
NAM2,YLR382C
UTP30,YKR060W
HHT1,YBR010W
RPT2,YDL007W
PRY3,YJL078C
RPL7B,YPL198W
GUD1,YDL238C
SCW4,YGR279C
SUR7,YML052W
PKP2,YGL059W
ASI1,YMR119W
SPO13,YHR014W
NMD2,YHR077C
SWD1,YAR003W
PMT7,YDR307W
YRB30,YGL164C
TPN1,YGL186C
GRX4,YER174C
REV7,YIL139C
IRC15,YPL017C
SLK19,YOR195W
MND1,YGL183C
GEP5,YLR091W
COQ10,YOL008W
YLH47,YPR125W
NUG1,YER006W
CAN1,YEL063C
CRT10,YOL063C
SPO75,YLL005C
SKI7,YOR076C
MBF1,YOR298C-A
KTR3,YBR205W
VID27,YNL212W
